ID,contract_ID,itemNumber,description,quantity,unitPrice,totalAmount,createdAt,modifiedAt
990e8400-e29b-41d4-a716-446655440001,660e8400-e29b-41d4-a716-446655440001,10,Manufacturing Equipment - Line A,2.000,150000.00,300000.00,2024-01-20T10:00:00Z,2024-01-20T10:00:00Z
990e8400-e29b-41d4-a716-446655440002,660e8400-e29b-41d4-a716-446655440001,20,Installation Services,1.000,50000.00,50000.00,2024-01-20T10:00:00Z,2024-01-20T10:00:00Z
990e8400-e29b-41d4-a716-446655440003,660e8400-e29b-41d4-a716-446655440001,30,Training and Support,1.000,150000.00,150000.00,2024-01-20T10:00:00Z,2024-01-20T10:00:00Z
990e8400-e29b-41d4-a716-446655440004,660e8400-e29b-41d4-a716-446655440003,10,Software Licenses - Enterprise,100.000,8000.00,800000.00,2024-01-10T09:00:00Z,2024-01-10T09:00:00Z
990e8400-e29b-41d4-a716-446655440005,660e8400-e29b-41d4-a716-446655440003,20,Implementation Services,1.000,200000.00,200000.00,2024-01-10T09:00:00Z,2024-01-10T09:00:00Z
990e8400-e29b-41d4-a716-446655440006,660e8400-e29b-41d4-a716-446655440003,30,Annual Support,1.000,200000.00,200000.00,2024-01-10T09:00:00Z,2024-01-10T09:00:00Z
990e8400-e29b-41d4-a716-446655440007,660e8400-e29b-41d4-a716-446655440004,10,Cloud Infrastructure,12.000,75000.00,900000.00,2024-03-01T11:00:00Z,2024-03-01T11:00:00Z
990e8400-e29b-41d4-a716-446655440008,660e8400-e29b-41d4-a716-446655440004,20,Migration Services,1.000,400000.00,400000.00,2024-03-01T11:00:00Z,2024-03-01T11:00:00Z
990e8400-e29b-41d4-a716-446655440009,660e8400-e29b-41d4-a716-446655440005,10,Automotive Parts - Premium,1000.000,600.00,600000.00,2024-02-05T13:00:00Z,2024-02-05T13:00:00Z
990e8400-e29b-41d4-a716-446655440010,660e8400-e29b-41d4-a716-446655440005,20,Quality Assurance,1.000,200000.00,200000.00,2024-02-05T13:00:00Z,2024-02-05T13:00:00Z
990e8400-e29b-41d4-a716-446655440011,660e8400-e29b-41d4-a716-446655440007,10,Software Development,6.000,120000.00,720000.00,2024-01-15T12:00:00Z,2024-01-15T12:00:00Z
990e8400-e29b-41d4-a716-446655440012,660e8400-e29b-41d4-a716-446655440007,20,Testing Services,1.000,180000.00,180000.00,2024-01-15T12:00:00Z,2024-01-15T12:00:00Z
990e8400-e29b-41d4-a716-446655440013,660e8400-e29b-41d4-a716-446655440008,10,Healthcare Analytics Platform,1.000,1200000.00,1200000.00,2024-02-10T10:00:00Z,2024-02-10T10:00:00Z
990e8400-e29b-41d4-a716-446655440014,660e8400-e29b-41d4-a716-446655440008,20,Data Integration,1.000,400000.00,400000.00,2024-02-10T10:00:00Z,2024-02-10T10:00:00Z
